Mindong,Mandarin Trans.,Source
"筅堂 使 其 筅帚 是 使 乍 折 鲜 其 竹桠 ,",筅堂用的扫帚是用刚采的新鲜竹枝,"林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
"掏 红纸 缚 着 头头 ,","用红纸包着,","林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
讨 蜀 隻 好 彩头 .,"快过年了, 图个好彩头.","林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
筅堂 一般 着 举 着 竹筅 将 厝 里<typofix=裏> 厝 外 边边角角 逐位 其 筅 澈洁 .,筅堂一般要举着竹筅将房子里外边边角角逐处地筅干净.,"林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
"特别 着 筅 平常间 野 少 扫 遘 其 位处 ,","特别要筅平常很少扫到的地方,","林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
"掸拂 塕尘 蜘蛛鞔 ,","掸拂灰尘蜘蛛网,","林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
清除 粪倒 无块死乇 .,清除垃圾杂物.,"林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
"筅堂 以后 ,",筅堂以后,"林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
"固 着 将 厝 裏势 其 中柱 , 门楣 , 门扇 , 壁枋 , 坎门<typofix=槛门> 等 洗 遘 澈澈洁 .","还要将屋里的柱子, 门楣, 门, 墙壁, 窗等擦洗干净.","林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
"无 体力 其 侬厝 ,","没体力的人家,","林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
固 会 使 钱 倩 船民 女界 来 对手 洗厝 .,还会花钱雇船民妇女来帮忙.,"林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
灶前 里势 其 灶前帐 也 着 分 时间 一一 拭洗 .,至于厨房里的厨具也要分时间一一拭洗.,"林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
"福州 俗语 ,","福州俗语,","林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
"做年 无 洗 被 ,","过年没洗被,","林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
睏 了 会 暝晦 .,睡了会倒晦.,"林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
"遘 年暝兜下 福州 稠稠 逿 雨 ,","进入腊月福州多是下小雨天气,","林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
难得 天 晴 出 日头 .,难得天晴出太阳.,"林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
"天 蜀 晴 出 日头 ,",一旦天晴出太阳,"林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
家家主主 都 会 赶 着 洗 被帐 .,家家户户都会赶着洗被帐.,"林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
"筅堂 ,","筅堂,","林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
"除 了 清洁 住 其 环境 ,","除了清洁居住环境,","林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
伊 固 是 蜀 种 表达 消灾 祈福 仪式化 行为 .,它还是一种表达消灾祈福仪式化行为.,"林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
"筅堂 洗厝 做年 成 了 民间 传统 习俗 ,","筅堂过年成为民间的习俗,","林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
流传 遘 今旦日 .,广传不衰直到今天.,"林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
